     0 | base=nan | val=0.236715 | acc1=nan | Wμ=nan | Aμ=nan | Wmax=nan | LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     0 | base=nan | val=0.236732 | acc1=0.9282 | Wμ=11.186 | Aμ=20.000 | Wmax=12.916 | LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     0 | base=nan | val=0.236786 | acc1=0.9281 | Wμ=9.786 | Aμ=20.000 | Wmax=10.000 | LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     0 | base=nan | val=0.236878 | acc1=0.9281 | Wμ=9.786 | Aμ=10.000 | Wmax=10.000 | LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
# epoch | BaseLoss | ValLoss | Acc@1 | MeanWBits | MeanABits | MaxWBits | MaxABits | LR | GradNorm | WSat | ASat | NoiseMean | NoiseVar | NoiseCorr | Temp | EpochTime(s)
     0 | base=nan | val=0.213726 | acc1=0.9335 | Wμ=9.786 | Aμ=10.000 | Wmax=10.000 | LR=nan | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     1 | base=0.003125 | val=0.236980 | acc1=0.9278 | Wμ=9.786 | Aμ=10.001 | Wmax=10.003 | LR=0.000198 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     3 | base=0.003449 | val=0.238092 | acc1=0.9274 | Wμ=9.786 | Aμ=10.004 | Wmax=10.007 | LR=0.000398 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     5 | base=0.005072 | val=0.237721 | acc1=0.9277 | Wμ=9.786 | Aμ=10.009 | Wmax=10.015 | LR=0.000598 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     7 | base=0.003603 | val=0.239552 | acc1=0.9262 | Wμ=9.787 | Aμ=10.019 | Wmax=10.032 | LR=0.000798 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
     9 | base=0.004909 | val=0.241040 | acc1=0.9244 | Wμ=9.788 | Aμ=10.030 | Wmax=10.046 | LR=0.000998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    11 | base=0.011576 | val=0.245017 | acc1=0.9227 | Wμ=9.793 | Aμ=10.044 | Wmax=10.061 | LR=0.001198 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    13 | base=0.029492 | val=0.254448 | acc1=0.9190 | Wμ=9.801 | Aμ=10.055 | Wmax=10.118 | LR=0.001398 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    15 | base=0.038422 | val=0.255615 | acc1=0.9218 | Wμ=9.813 | Aμ=10.076 | Wmax=10.181 | LR=0.001598 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    17 | base=0.039167 | val=0.259038 | acc1=0.9174 | Wμ=9.828 | Aμ=10.089 | Wmax=10.209 | LR=0.001798 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    19 | base=0.045720 | val=0.255603 | acc1=0.9192 | Wμ=9.844 | Aμ=10.115 | Wmax=10.280 | LR=0.001998 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    21 | base=0.045415 | val=0.258512 | acc1=0.9204 | Wμ=9.582 | Aμ=9.890 | Wmax=9.947 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    23 | base=0.048008 | val=0.261389 | acc1=0.9165 | Wμ=9.070 | Aμ=9.579 | Wmax=9.647 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    25 | base=0.048398 | val=0.263920 | acc1=0.9191 | Wμ=8.596 | Aμ=9.235 | Wmax=9.267 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    27 | base=0.040560 | val=0.254370 | acc1=0.9211 | Wμ=8.137 | Aμ=8.877 | Wmax=8.898 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    29 | base=0.031429 | val=0.256772 | acc1=0.9207 | Wμ=7.707 | Aμ=8.522 | Wmax=8.558 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    31 | base=0.036304 | val=0.253887 | acc1=0.9182 | Wμ=7.294 | Aμ=8.178 | Wmax=8.205 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
    33 | base=0.041243 | val=0.267088 | acc1=0.9194 | Wμ=6.896 | Aμ=7.844 | Wmax=7.870 | LR=0.002 | ‖g‖=nan | satA=nan | satW=nan | εμ=nan | εvar=nan | corr(ε,x)=nan | t=nans
