# callback_metrics keys:
# PSNR/B100
# PSNR/Set14
# PSNR/Set5
# PSNR/Urban100
# SSIM/B100
# SSIM/Set14
# SSIM/Set5
# SSIM/Urban100
# Val_loss/B100
# Val_loss/B100_epoch
# Val_loss/Set14
# Val_loss/Set14_epoch
# Val_loss/Set5
# Val_loss/Set5_epoch
# Val_loss/Urban100
# Val_loss/Urban100_epoch
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.74 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=20.60 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |  | a_actual_b100=15.434, a_actual_set14=15.564, a_actual_set5=15.423, a_actual_urban100=15.785, a_max_b100=18.909, a_max_set14=19.104, a_max_set5=19.003, a_max_urban100=19.127, a_mean_b100=20.000, a_mean_set14=20.000, a_mean_set5=20.000, a_mean_urban100=20.000, w_actual_b100=12.695, w_actual_set14=12.695, w_actual_set5=12.695, w_actual_urban100=12.695, w_max_b100=14.925, w_max_set14=14.925, w_max_set5=14.925, w_max_urban100=14.925, w_mean_b100=11.704, w_mean_set14=11.704, w_mean_set5=11.704, w_mean_urban100=11.704
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=20.73 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |  | a_actual_b100=15.435, a_actual_set14=15.564, a_actual_set5=15.424, a_actual_urban100=15.785, a_max_b100=18.909, a_max_set14=19.104, a_max_set5=19.003, a_max_urban100=19.126, a_mean_b100=20.000, a_mean_set14=20.000, a_mean_set5=20.000, a_mean_urban100=20.000, w_actual_b100=10.000, w_actual_set14=10.000, w_actual_set5=10.000, w_actual_urban100=10.000, w_max_b100=10.000, w_max_set14=10.000, w_max_set5=10.000, w_max_urban100=10.000, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=20.50 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |  | a_actual_b100=8.902, a_actual_set14=9.042, a_actual_set5=8.898, a_actual_urban100=9.257, a_max_b100=9.678, a_max_set14=9.768, a_max_set5=9.758, a_max_urban100=9.858, a_mean_b100=10.000, a_mean_set14=10.000, a_mean_set5=10.000, a_mean_urban100=10.000, w_actual_b100=10.000, w_actual_set14=10.000, w_actual_set5=10.000, w_actual_urban100=10.000, w_max_b100=10.000, w_max_set14=10.000, w_max_set5=10.000, w_max_urban100=10.000, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
# epoch | train_loss | val_loss | PSNR | SSIM | LPIPS | BestPSNR | LR | GradNorm | Wμbits | Aμbits | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
# callback_metrics keys:
#
     0 | train=nan | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=nan | gnorm=nan | Wμ=nan | Aμ=nan | t_train=nan | t_val=1.52 | mem=250.9 |
     0 | train=0.000788 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00036 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.92 | t_val=12.14 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.302, psnr_set5=32.350, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |  | a_actual_b100=8.905, a_actual_set14=9.045, a_actual_set5=8.895, a_actual_urban100=9.260, a_max_b100=9.679, a_max_set14=9.768, a_max_set5=9.789, a_max_urban100=9.861, a_mean_b100=10.000, a_mean_set14=10.000, a_mean_set5=10.000, a_mean_urban100=10.000, w_actual_b100=10.000, w_actual_set14=10.000, w_actual_set5=10.000, w_actual_urban100=10.000, w_max_b100=10.000, w_max_set14=10.000, w_max_set5=10.000, w_max_urban100=10.000, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     1 | train=0.000776 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00074 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.66 | t_val=12.01 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.295, psnr_set5=32.338, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |  | a_actual_b100=8.909, a_actual_set14=9.047, a_actual_set5=8.902, a_actual_urban100=9.264, a_max_b100=9.681, a_max_set14=9.771, a_max_set5=9.794, a_max_urban100=9.862, a_mean_b100=10.001, a_mean_set14=10.001, a_mean_set5=10.001, a_mean_urban100=10.001, w_actual_b100=10.001, w_actual_set14=10.001, w_actual_set5=10.001, w_actual_urban100=10.001, w_max_b100=10.003, w_max_set14=10.003, w_max_set5=10.003, w_max_urban100=10.003, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
     2 | train=0.001096 | val=nan | psnr=nan | ssim=nan | lpips=nan | best=nan | lr=0.00112 | gnorm=nan | Wμ=nan | Aμ=nan | t_train=12.65 | t_val=11.99 | mem=383.9 | psnr_b100=27.610, psnr_set14=28.288, psnr_set5=32.333, psnr_urban100=26.117, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |  | a_actual_b100=8.941, a_actual_set14=9.068, a_actual_set5=8.926, a_actual_urban100=9.294, a_max_b100=9.686, a_max_set14=9.775, a_max_set5=9.799, a_max_urban100=9.876, a_mean_b100=10.002, a_mean_set14=10.002, a_mean_set5=10.002, a_mean_urban100=10.002, w_actual_b100=10.002, w_actual_set14=10.002, w_actual_set5=10.002, w_actual_urban100=10.002, w_max_b100=10.004, w_max_set14=10.004, w_max_set5=10.004, w_max_urban100=10.004, w_mean_b100=9.977, w_mean_set14=9.977, w_mean_set5=9.977, w_mean_urban100=9.977
