     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.74 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.78 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.99 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.72 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.48 | mem=250.9 |
     0 | train=0.000734 | val=nan | lr=0.00036 | t_train=12.96 | t_val=12.19 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.299, psnr_set5=32.344, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000894 | val=nan | lr=0.00074 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.615, psnr_set14=28.295, psnr_set5=32.327, psnr_urban100=26.130, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.000928 | val=nan | lr=0.00112 | t_train=12.82 | t_val=12.04 | mem=383.9 | psnr_b100=27.611, psnr_set14=28.290, psnr_set5=32.341, psnr_urban100=26.121, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001007 | val=nan | lr=0.0015 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.605, psnr_set14=28.274, psnr_set5=32.319, psnr_urban100=26.107, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.001735 | val=nan | lr=0.00188 | t_train=12.81 | t_val=12.14 | mem=383.9 | psnr_b100=27.605, psnr_set14=28.283, psnr_set5=32.338, psnr_urban100=26.117, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     5 | train=0.002049 | val=nan | lr=0.00226 | t_train=12.70 | t_val=12.05 | mem=383.9 | psnr_b100=27.598, psnr_set14=28.271, psnr_set5=32.317, psnr_urban100=26.080, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.002244 | val=nan | lr=0.00264 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.587, psnr_set14=28.270, psnr_set5=32.308, psnr_urban100=26.025, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     7 | train=0.002715 | val=nan | lr=0.00302 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.569, psnr_set14=28.260, psnr_set5=32.303, psnr_urban100=26.014, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
     8 | train=0.002932 | val=nan | lr=0.0034 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.559, psnr_set14=28.259, psnr_set5=32.318, psnr_urban100=26.004, ssim_b100=0.735, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.961 |
     9 | train=0.004454 | val=nan | lr=0.00378 | t_train=12.73 | t_val=12.07 | mem=383.9 | psnr_b100=27.544, psnr_set14=28.186, psnr_set5=32.249, psnr_urban100=25.934, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
    10 | train=0.002837 | val=nan | lr=0.00416 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.522, psnr_set14=28.184, psnr_set5=32.202, psnr_urban100=25.871, ssim_b100=0.735, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.961 |
    11 | train=0.004570 | val=nan | lr=0.00454 | t_train=12.84 | t_val=12.20 | mem=383.9 | psnr_b100=27.507, psnr_set14=28.178, psnr_set5=32.163, psnr_urban100=25.934, ssim_b100=0.734, ssim_set14=0.859, ssim_set5=0.911, ssim_urban100=0.960 |
