     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.75 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.74 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.83 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.53 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.53 | mem=250.9 |
     0 | train=0.000685 | val=nan | lr=7.2e-05 | t_train=12.98 | t_val=12.19 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.299, psnr_set5=32.345, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000757 | val=nan | lr=0.000148 | t_train=12.74 | t_val=12.07 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.300, psnr_set5=32.341, psnr_urban100=26.137, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.000765 | val=nan | lr=0.000224 | t_train=12.82 | t_val=12.07 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.297, psnr_set5=32.338, psnr_urban100=26.133, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.000696 | val=nan | lr=0.0003 | t_train=12.79 | t_val=12.14 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.300, psnr_set5=32.343, psnr_urban100=26.138, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.000890 | val=nan | lr=0.000376 | t_train=12.80 | t_val=12.14 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.300, psnr_set5=32.343, psnr_urban100=26.133, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     5 | train=0.000759 | val=nan | lr=0.000452 | t_train=12.75 | t_val=12.09 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.301, psnr_set5=32.348, psnr_urban100=26.129, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
     6 | train=0.000882 | val=nan | lr=0.000528 | t_train=12.86 | t_val=12.18 | mem=383.9 | psnr_b100=27.614, psnr_set14=28.294, psnr_set5=32.342, psnr_urban100=26.121, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     7 | train=0.001207 | val=nan | lr=0.000604 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=27.613, psnr_set14=28.292, psnr_set5=32.341, psnr_urban100=26.130, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     8 | train=0.001107 | val=nan | lr=0.00068 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.286, psnr_set5=32.327, psnr_urban100=26.112, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     9 | train=0.001184 | val=nan | lr=0.000756 | t_train=12.76 | t_val=12.09 | mem=383.9 | psnr_b100=27.615, psnr_set14=28.292, psnr_set5=32.348, psnr_urban100=26.118, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.915, ssim_urban100=0.963 |
