     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.70 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.80 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.93 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.73 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.44 | mem=250.9 |
     0 | train=0.000919 | val=nan | lr=0.00072 | t_train=12.94 | t_val=12.16 | mem=383.9 | psnr_b100=27.618, psnr_set14=28.296, psnr_set5=32.345, psnr_urban100=26.133, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.001028 | val=nan | lr=0.00148 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.616, psnr_set14=28.292, psnr_set5=32.343, psnr_urban100=26.130, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001350 | val=nan | lr=0.00224 | t_train=12.85 | t_val=12.08 | mem=383.9 | psnr_b100=27.608, psnr_set14=28.298, psnr_set5=32.310, psnr_urban100=26.099, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001416 | val=nan | lr=0.003 | t_train=12.67 | t_val=12.02 | mem=383.9 | psnr_b100=27.604, psnr_set14=28.311, psnr_set5=32.320, psnr_urban100=26.095, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.962 |
     4 | train=0.002594 | val=nan | lr=0.00376 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.567, psnr_set14=28.251, psnr_set5=32.191, psnr_urban100=26.022, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
     5 | train=0.003117 | val=nan | lr=0.00452 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.578, psnr_set14=28.212, psnr_set5=32.283, psnr_urban100=26.015, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.003592 | val=nan | lr=0.00528 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.527, psnr_set14=28.158, psnr_set5=32.252, psnr_urban100=25.857, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.961 |
     7 | train=0.004752 | val=nan | lr=0.00604 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=27.523, psnr_set14=28.186, psnr_set5=32.190, psnr_urban100=25.878, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
     8 | train=0.005899 | val=nan | lr=0.0068 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=27.484, psnr_set14=28.195, psnr_set5=32.120, psnr_urban100=25.829, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.910, ssim_urban100=0.959 |
     9 | train=0.005453 | val=nan | lr=0.00756 | t_train=12.72 | t_val=12.07 | mem=383.9 | psnr_b100=27.452, psnr_set14=28.038, psnr_set5=32.026, psnr_urban100=25.767, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.959 |
    10 | train=0.005131 | val=nan | lr=0.00832 | t_train=12.69 | t_val=12.03 | mem=383.9 | psnr_b100=27.386, psnr_set14=27.966, psnr_set5=31.973, psnr_urban100=25.579, ssim_b100=0.729, ssim_set14=0.854, ssim_set5=0.908, ssim_urban100=0.957 |
    11 | train=0.007822 | val=nan | lr=0.00908 | t_train=12.65 | t_val=12.01 | mem=383.9 | psnr_b100=27.393, psnr_set14=27.998, psnr_set5=31.953, psnr_urban100=25.623, ssim_b100=0.729, ssim_set14=0.855, ssim_set5=0.907, ssim_urban100=0.958 |
    12 | train=0.006092 | val=nan | lr=0.00984 | t_train=12.75 | t_val=12.10 | mem=383.9 | psnr_b100=27.269, psnr_set14=27.863, psnr_set5=31.775, psnr_urban100=25.375, ssim_b100=0.724, ssim_set14=0.850, ssim_set5=0.900, ssim_urban100=0.955 |
    13 | train=0.017181 | val=nan | lr=0.0106 | t_train=12.69 | t_val=12.03 | mem=383.9 | psnr_b100=27.242, psnr_set14=27.814, psnr_set5=31.537, psnr_urban100=25.384, ssim_b100=0.722, ssim_set14=0.850, ssim_set5=0.899, ssim_urban100=0.955 |
    14 | train=0.011055 | val=nan | lr=0.01136 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=26.684, psnr_set14=27.168, psnr_set5=30.409, psnr_urban100=24.936, ssim_b100=0.707, ssim_set14=0.842, ssim_set5=0.889, ssim_urban100=0.953 |
    15 | train=0.019364 | val=nan | lr=0.01212 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=26.181, psnr_set14=26.529, psnr_set5=29.525, psnr_urban100=24.293, ssim_b100=0.647, ssim_set14=0.794, ssim_set5=0.824, ssim_urban100=0.945 |
    16 | train=0.019628 | val=nan | lr=0.01288 | t_train=12.76 | t_val=12.10 | mem=383.9 | psnr_b100=26.692, psnr_set14=26.982, psnr_set5=30.355, psnr_urban100=24.554, ssim_b100=0.680, ssim_set14=0.823, ssim_set5=0.855, ssim_urban100=0.947 |
    17 | train=0.013094 | val=nan | lr=0.01364 | t_train=12.70 | t_val=12.06 | mem=383.9 | psnr_b100=26.789, psnr_set14=27.186, psnr_set5=30.482, psnr_urban100=24.774, ssim_b100=0.684, ssim_set14=0.827, ssim_set5=0.859, ssim_urban100=0.950 |
    18 | train=0.012569 | val=nan | lr=0.0144 | t_train=12.71 | t_val=12.05 | mem=383.9 | psnr_b100=27.067, psnr_set14=27.525, psnr_set5=31.178, psnr_urban100=25.033, ssim_b100=0.707, ssim_set14=0.841, ssim_set5=0.883, ssim_urban100=0.952 |
    19 | train=0.018678 | val=nan | lr=0.01516 | t_train=12.74 | t_val=12.09 | mem=383.9 | psnr_b100=27.003, psnr_set14=27.393, psnr_set5=31.017, psnr_urban100=24.975, ssim_b100=0.705, ssim_set14=0.837, ssim_set5=0.876, ssim_urban100=0.952 |
    20 | train=0.014504 | val=nan | lr=0.01592 | t_train=12.70 | t_val=12.04 | mem=383.9 | psnr_b100=27.039, psnr_set14=27.335, psnr_set5=30.886, psnr_urban100=24.998, ssim_b100=0.710, ssim_set14=0.839, ssim_set5=0.880, ssim_urban100=0.952 |
    21 | train=0.014713 | val=nan | lr=0.01668 | t_train=12.72 | t_val=12.06 | mem=383.9 | psnr_b100=27.004, psnr_set14=27.364, psnr_set5=31.012, psnr_urban100=24.922, ssim_b100=0.704, ssim_set14=0.838, ssim_set5=0.878, ssim_urban100=0.950 |
    22 | train=0.017032 | val=nan | lr=0.01744 | t_train=12.64 | t_val=11.98 | mem=383.9 | psnr_b100=26.956, psnr_set14=27.361, psnr_set5=30.933, psnr_urban100=24.874, ssim_b100=0.703, ssim_set14=0.839, ssim_set5=0.880, ssim_urban100=0.950 |
    23 | train=0.027771 | val=nan | lr=0.0182 | t_train=12.84 | t_val=12.09 | mem=383.9 | psnr_b100=26.499, psnr_set14=26.842, psnr_set5=29.881, psnr_urban100=24.498, ssim_b100=0.674, ssim_set14=0.822, ssim_set5=0.848, ssim_urban100=0.947 |
    24 | train=0.028667 | val=nan | lr=0.01896 | t_train=12.69 | t_val=12.05 | mem=383.9 | psnr_b100=25.983, psnr_set14=25.998, psnr_set5=28.674, psnr_urban100=23.937, ssim_b100=0.621, ssim_set14=0.770, ssim_set5=0.785, ssim_urban100=0.938 |
    25 | train=0.246348 | val=nan | lr=0.01972 | t_train=12.73 | t_val=12.08 | mem=383.9 | psnr_b100=11.742, psnr_set14=10.929, psnr_set5=11.181, psnr_urban100=10.341, ssim_b100=0.079, ssim_set14=0.190, ssim_set5=0.164, ssim_urban100=0.418 |
    26 | train=1.545338 | val=nan | lr=0.02 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=10.226, psnr_set14=9.719, psnr_set5=9.031, psnr_urban100=9.356, ssim_b100=0.026, ssim_set14=0.092, ssim_set5=0.060, ssim_urban100=0.185 |
