     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.77 | mem=248.9 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.057, psnr_urban100=26.141, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.75 | mem=250.8 | psnr_b100=27.621, psnr_set14=28.302, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.85 | mem=250.9 | psnr_b100=27.621, psnr_set14=28.303, psnr_set5=32.056, psnr_urban100=26.140, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=20.66 | mem=250.9 | psnr_b100=27.618, psnr_set14=28.302, psnr_set5=32.055, psnr_urban100=26.139, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.906, ssim_urban100=0.963 |
# epoch | train_loss | val_loss | LR | t_train(s) | t_val(s) | gpu_mem(MB) | SRBench(psnr/ssim...)
     0 | train=nan | val=nan | lr=nan | t_train=nan | t_val=1.54 | mem=250.9 |
     0 | train=0.000705 | val=nan | lr=0.00036 | t_train=12.94 | t_val=12.15 | mem=383.9 | psnr_b100=27.619, psnr_set14=28.299, psnr_set5=32.341, psnr_urban100=26.134, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     1 | train=0.000781 | val=nan | lr=0.00074 | t_train=12.71 | t_val=12.06 | mem=383.9 | psnr_b100=27.617, psnr_set14=28.298, psnr_set5=32.344, psnr_urban100=26.136, ssim_b100=0.738, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     2 | train=0.001036 | val=nan | lr=0.00112 | t_train=12.86 | t_val=12.11 | mem=383.9 | psnr_b100=27.612, psnr_set14=28.301, psnr_set5=32.331, psnr_urban100=26.121, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     3 | train=0.001309 | val=nan | lr=0.0015 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.605, psnr_set14=28.292, psnr_set5=32.307, psnr_urban100=26.097, ssim_b100=0.737, ssim_set14=0.861, ssim_set5=0.914, ssim_urban100=0.963 |
     4 | train=0.002481 | val=nan | lr=0.00188 | t_train=12.77 | t_val=12.13 | mem=383.9 | psnr_b100=27.593, psnr_set14=28.263, psnr_set5=32.284, psnr_urban100=26.093, ssim_b100=0.737, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     5 | train=0.002506 | val=nan | lr=0.00226 | t_train=12.79 | t_val=12.13 | mem=383.9 | psnr_b100=27.583, psnr_set14=28.276, psnr_set5=32.289, psnr_urban100=26.051, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.914, ssim_urban100=0.962 |
     6 | train=0.002431 | val=nan | lr=0.00264 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.575, psnr_set14=28.252, psnr_set5=32.280, psnr_urban100=25.993, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
     7 | train=0.003234 | val=nan | lr=0.00302 | t_train=12.72 | t_val=12.08 | mem=383.9 | psnr_b100=27.570, psnr_set14=28.255, psnr_set5=32.305, psnr_urban100=26.016, ssim_b100=0.736, ssim_set14=0.860, ssim_set5=0.913, ssim_urban100=0.962 |
     8 | train=0.002863 | val=nan | lr=0.0034 | t_train=12.77 | t_val=12.11 | mem=383.9 | psnr_b100=27.531, psnr_set14=28.172, psnr_set5=32.163, psnr_urban100=25.940, ssim_b100=0.735, ssim_set14=0.859, ssim_set5=0.911, ssim_urban100=0.961 |
     9 | train=0.004185 | val=nan | lr=0.00378 | t_train=12.84 | t_val=12.18 | mem=383.9 | psnr_b100=27.551, psnr_set14=28.202, psnr_set5=32.211, psnr_urban100=26.007, ssim_b100=0.736, ssim_set14=0.859, ssim_set5=0.913, ssim_urban100=0.962 |
    10 | train=0.003510 | val=nan | lr=0.00416 | t_train=12.82 | t_val=12.16 | mem=383.9 | psnr_b100=27.462, psnr_set14=28.140, psnr_set5=32.133, psnr_urban100=25.760, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.959 |
    11 | train=0.004098 | val=nan | lr=0.00454 | t_train=12.71 | t_val=12.07 | mem=383.9 | psnr_b100=27.504, psnr_set14=28.162, psnr_set5=32.158, psnr_urban100=25.847, ssim_b100=0.734, ssim_set14=0.858, ssim_set5=0.912, ssim_urban100=0.960 |
    12 | train=0.005008 | val=nan | lr=0.00492 | t_train=12.80 | t_val=12.15 | mem=383.9 | psnr_b100=27.410, psnr_set14=28.088, psnr_set5=32.134, psnr_urban100=25.739, ssim_b100=0.731, ssim_set14=0.857, ssim_set5=0.911, ssim_urban100=0.958 |
    13 | train=0.006051 | val=nan | lr=0.0053 | t_train=12.78 | t_val=12.12 | mem=383.9 | psnr_b100=27.436, psnr_set14=28.070, psnr_set5=32.093, psnr_urban100=25.803, ssim_b100=0.732, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.960 |
    14 | train=0.004739 | val=nan | lr=0.00568 | t_train=12.77 | t_val=12.12 | mem=383.9 | psnr_b100=27.439, psnr_set14=28.016, psnr_set5=31.983, psnr_urban100=25.694, ssim_b100=0.733, ssim_set14=0.857, ssim_set5=0.910, ssim_urban100=0.959 |
